en	kana	kanji	空念	八雲	長万部	幌別	平取	貫気別	新冠	様似	帯広	釧路	美幌	旭川	名寄	宗谷	落帆	多蘭泊	真岡	白浦	ライチシカ	内路	沙流	千島	占守	幌筵	南千島	弥満別	白浜	新問	多来加	智来	鵜城	根室	千歳	屈斜路	近文	穂別	礼文	足寄	天塩	虻田	白老	富内	春採	十勝	鵡川	有珠	白糠	静内	日高	虹別	荻伏	浦河	斜里	阿寒	伏古	厚真	北見	網走	室蘭	白主	高島	広尾	相浜	芽室	塘路	布伏内	江部乙	萩野	白人	幌満	択捉	音更	高江	三石	藻琴	豊浦
young,man	わかもの	若者		upenokkayo,upenkur,hokunhekaci,(男になりつつある頃,17,8歳),sikupkur,(中年)		okkaypo,ponaynu,ponkur					sikupkur		sikupekaci,(20歳位),sikupkur,(30歳位),okkaypo	okkaypo,pewrekur	pewrekur,sukup,okkayokur	okkayo			horokeypo	sukuhpe	iwanehpo,(15歳前後-20歳前後),sukuhkuru,(男女とも),iwanehpo,ohkayo(30歳台まで)		okkaypo,ponkur,sukupkur		okkai(137)											okkaypo																			ponaynu												okunekaci,okunekattar(-i)											
(little),girl	しょうじょ	少女		matnekaci,matkaci		matkaci,oper					operke,matnekaci	matnepo(女の子、娘(親に対する)),menokopo(若い女、娘),ponmenoko(若い女性、娘(親に対する娘ではない))	menoko,ekaci	matnekaci,ponmenoko	matne,ekaci,matkaci,operkep	kancipo,(10-12歳),matnepo,(15-16歳)					ponmerekopo,(10歳前後)		matkaci,oper,(かわいがってよぶ言葉),oyaskep,(大切に思ってよぶ言葉)		kama(女の子),kama(女の子)		operke(女の子)							oper(女ノ子|[われめあり]),menokopo(女ノ子|[女の子])																																												
young,lady	むすめ	娘		upenmatkaci,upenmenoko,upenmat,ponmenoko,《"姉っこ"》		ponmenoko,oper,oper				oper,ponmahnekaci,ponmatekaci	ponmenoko	matnepo(女の子、娘(親に対する)),menokopo(若い女、娘),ponmenoko(若い女性、娘(親に対する娘ではない))	ponmenoko,kanaci,matnekaci,ponmenoko	ponmenoko	poro,matnekaci,menoko,operkep	pewre,menoko,sukup,menoko,ponmenoko		merekopo	maynehpo,merekopo,kancipo,mahnekaci,monowahpo	mahpo,maynehpo,matekaci,maymene,merokopo,moromahpo,sukuhmahnekuh(ru/-ru),wahtuykes(-i)	ponmeneko		ponmenoko,(既婚でもよい),oper,ponmenoko		merekopo,(20歳位まで.,既婚でもよい),kpomati(娘)					ponmenoko			mahpo				oper,operke				operke		oper	maymene,merokopo					makkaci				makkaci	makkaci,ponmenoko			operke,operkep,ponmenoko					moroahpo		matnekaci	maymene,merokopo,sukuhmahnekuh(ru/-ru)		matnekaci,oper					matnekaci						
adult,grown-up	おとな	大人		ruknekur,porokur		porokur,rupnekur,(大勢)					rukne,utar,(大勢)		あまり,porokur,onne,aynu	poro,aynu,(男),poro,menoko,(女)	rupnekur,porokur,poromenoko,(女)	okkay					onneru,aynu,ruhne,aynu,poro,aynu		rupnekur,porokur																																																							
old,person	ろうじん	老人		onnekur,onneutar,paporokur,paporoutar		onnep,《年寄》,onneutar,(大勢)					onne,utar,(大勢)	onneutar(老人たち),pakorkur(年をとった人)	onnep	onne,aynu,utar	onnep,onneutar,(老人たち)	onne,kur					onne,utah,-rihi,(40-60歳),hekaye,utah,-rihi,(70歳位)		onnep,《年寄》											caca(翁|[崩れこぼれる]),hekay(老るもの)																																												
old,man	おじいさん	爺さん		ekasi,caca,(位の高い)		ekasi,caca,onnekur					ekasi,onnekur	caca(爺さん、熊(kamuycaca)),ekasi(おじいさん、祖父)	ekasi,caca,onnekur	ekas	ekasi,caca,onnecaca	ekasi,henke			heysu	onneruaynu,paporoaynu,yesu	henke,(60-80歳),ekashi,(90-100歳)		ekasi,[良],onnekur,(親しみをこめたことば),caca《じいさん》		achabo,(136)											paporoaynu																																										
old,woman	おばあさん	婆さん		hutci		(onne-)huci,onnemat,sut,[雅],rupnemat,[雅]					huci,ruknemat	huci(祖母、おばあさん、老女)	huci	huci	huci,rupnemat	huci	ahci		ikonnoh	ahci,ikonnoh	ruhne,mah,(50-60,歳),ahci,(60-80,歳),suh,-cihi,(90-100,歳)		(onne-)huci,rupnemat,onnehuci,rupnemat		unabe,(姥,136)								ahci																																													
to,grow,old,to,be,old	としをとる	年を取る		pa,poro,onne		onne,hekay[雅],poro《年多い》					onne	onne(年老いた、年をとる、年をとって死ぬ)	onne	onne	onne(人のみ),ekaye(一般に《高齢の》)	paha,poro,onne《年とった》,hekay,(onne,より多く,80-90歳)					paa,poro,hekaye(高齢),onne		onne,hekaye(野草が),kiyanne《年上の》																																																							
to,be,young	わかい	若い		upen,,pewre,(人には使わない)		sukup					sikup,,pewre,(動植物(食物)が)	pewre(若い),pon(小さい、若い、幼い)	sikup,,pewre,(熊の仔が)	pewre,,sukup,は《育つ》	pewre,,sukup,は《育った》	poniwne					sukuh,-p,,pewre,[老]		pewre,,sukup,(40,歳代迄),,poniwne《年下の》											sekaci(若い者),sekaci()																																												
to,be,very,young	おさない	幼い		pon,iwatarappe<<何も未熟な>>		pon,nokan					pon	pon(小さい、若い、幼い)	pon	pon	pon	pon					pon		pon											yayerampetek(幼|[自らが])																																												
stranger,outsider	たにん	他人		anun（函館一室蘭外）,oyakunkur《よその人》		anun						imosma-anpe(別の人),oyakur(違う人)	atciseunpe,anun《よその》,anun(-i)	anun	anun	oyautar,anunkur				anun(-i)	oyaaynu,ahciseun,aynu〔老〕,anun,aynu〔老〕		anun																																																							
family	かぞく	家族		cise,orun,(〜un),utar		cise,orunrup					utari,,anutari,(私たちの)	kor-utar(家族)			sine,cise,unuta(?)	,sine,cise,orun,utar					cisorun,aynu,utah,-rikehe		cise,un,utar											uapa《親類|[一つの戸口]》																																												
relative	しんせき	親戚		utari《同朋》,irwak,utar,apa,(-ha),irkorpe		utari					utari,siramkore[動]	sirankore《同族、一族》	utari,siramkore《血がつながっている》	utar《同族,同じ部落の人》,aysiramkore,kur《遠くにいる知人》	utari,apa,utari,siramkore,utari	utari,-hi,apautari,ikatkor《同じ姿をしている》					eyuhpeutarikehe,sirankore,utah		utari,apa(-ha)[古・稀],siramkore《血がつながっている》		turunaigipureguru,(親族136)									uapa《親類|[一つの戸口]》																																												
ancestors	せんぞ	先祖		sinrit,-ci		sinrit,makunekasi,makunhuci,okapuspa					sinrit	icarpa《先祖供養》	sinrit,maktaekasi,ukosinritkor	sinrit	sinrit	makta,henke,utar,makta,huci,utar	mahtasuh(t-i＞c-i)	seremah(k-a)		mahtaekasi	sinritutah,-rikehe		sinrit,-ci,ekas(男),sut,-ci(女),cipiyere		ekashi,(先祖,136)					mahtaekasi				sermak(先祖|[代々の影])						makunekasi																																						
decendants	しそん	子孫		ekasirakpopo		santek,sanikir,aynuraykepsani,raykursani,weysetasani					san《血統》	sani(子孫),sanike(子孫),sanikir(子孫),taype((悪口で)子、子孫、血筋),wentaype(悪党の子孫(悪口))	poutari,sani,[悪],satasanmici	matta,kuutarari,sanike	keseke,(一門)	忘れた			munimpesani,uehsani,wempesani		mahtamitutah,-rikehe		san,santekehe,taype,[悪],sapikir《系統》,ironnupuype,ituypapuype																															sanmitpo																								
grandfather	そふ	祖父	ekasi	ekasi		ekasi,ekasi					ekasi	ekasi(おじいさん、祖父)	ekasi,(kor,„(彼の))	ekas,makta,ekas	ekasi	ekasi,makta,ekasi,《曾祖父》					henke,-he		ekasi,(kor,„(彼の)),ekas		kew-kew(祖父)									ekasi/ekas(祖父|[親を越えて影])							henke								ponekasi															sankeekasi														
grandmother	そぼ	祖母		hutci		huci					huci	huci(祖母、おばあさん、老女)	huci,kossuci	huci,makta,huci	huci	huci,makta,huci,《曾祖母》	ahci,suhci	mempe	mempe	ahci,suci	ahci,-hi		huci,(kor,„(彼の)),sut,-ci,[雅・稀]		metki(祖母)					suci,mempe,suhci	suci,aci,atci	ahci,suci	ahci	sut(祖母|[また上の母])	hutci					korhuci									ponhuci																													
grandchild,grandson,granddaughter	まご	孫		mitpo,(-ho),okkayo,mitpo(男),matne,mitpo(女)		mitpo,(-ho),nitpo				mitpo	nitpo	mippo(孫),mitpo(孫)	mitpo,mippo,mitpo	mippo,okkay,mippo(男),matne,mippo(女)	mitpo,,matne,mitpo(女),mitpo,utar《孫たち》,mitpo	mitpo,-ho(男),matmit,-cihi(女)			micimici		mis,-cihi([老],mih),mahmis,-cihi,(女)(共に息子・息女・甥の子)		mitpo,(-ho),∼mippo,(-ho)		k-aynumaci(孫娘),kumici(孫)								ammahka	micipo?/mitpo(孫|[父よりの種])	mitpo	mitpo	nitpo				mitpo								mippo					mitpo	mitpo		mippo													nitpo,operpo,sannitpo	mippo	mitpo						
great-grandchild	ひまご	曾孫		sanmitpo							sannitpo		sanmitpo			忘れた					mahtamis,-cihi		sanmippo,(-ho)																																																							
parent	おや	親		sinrit,utar		esikop								ouske,esikop,は《ふたご》	ous,sinrit	忘れた,eonaha,resika《親孝行せよ》					cinkewhe,(また“親元”[父母・祖父母の総称]),ousi《“親元”》		,sinrit(c-i)													hacahapo	onneike,onneutar(-i),ousi,ousike,oussikew(-e)								esikep(-i)																																	
parents	りょうしん	両親		hapo,acapo,,totto,ekasi,totto,hutci,[敬],,sinrit,utar										sinrit,-ci(-hi)	ouskeutar,,sinritutar(共に《親たち》)	acaha,hapoho					uhekota,cinkew,utarikehe		epuykeutar,,onautar,(共に《親たち》)																																																							
father	ちち	父	hanpe	acapo,acapo,tottoacapo,[敬]	acapo	mici,mici,ona,[雅],mici	mici,iyapo,mici	mici	mici	aca,aca	mici,mici,micihi	mici,aca(父、父親),mici(父)	mici,mici,aca,koraynu,mici	hanpe,hanpe,ona,(-ha)	hanpe,hanpe,ona,hampe	aca,aca,-ha	ona(父親?),apa	aapa,acapo	aapa,apa	aapa,apa,moncirupe,munciripe	aaca,aaca,-ha《おとうさん》(呼ぶ時にも),ona,-ha	apaa	iyapo《おとうさん》,mici,micihi《〃》,ona,(-ha)《父親》		michi,(135)		mici(父)				apa	apa	acapo,aca	aca(父親|[片身を貰う]),mici(父)		haca,mici	hampe,rupneaynu		acipo	mici	hampe	acipo	mici		acapo,haca		iyapo,yapo	acipo	aca,mici	aca,mici			haca,mici	aca	acapo,haca							aca,caca		aca,korkur(-i),mici		mici	haca	mici	hampe	mici	mici							acipo
father-in-law	ままちち	継父		iyos,acapo		iyosimici								ios,mici	aca,(本来《おじ》)	忘れた					sikonte,ona		iyos,an,kor,iyapo																																																							
mother	はは	母	hapo	hapo,hapo,(-ho),tottohapo,[敬],esikop,[敬]	hapo	hapo,hapo,unu,[雅],mamahapo,siwtohapo	hapo	hapo	hapo	hapo,hapo	hapo,hapo,(-ho),(kor,(h)apo(彼の))	hapo,hapo(母、母親、お母さん),hapone(母である)	hapo,hapo,apo,hapo,hapu,totto	totto,totto,unu,(-hu)	totto,totto,unu	hapo,hapo,-ho	unu(母親?),nanna,ommo,nana	nanna,nanna,tohto	nanna,nanna,tohto	nanna,nanna,nana	onmo,onmo,-ho《おかあさん》(呼ぶ時にも),unu,-hu	nanna	hapo《おかあさん》,unu,(-hu)《母親》,hapo		nonno(135),nonno(母親)		nonno(母)			nanna	ommo	nanna	nanna,ommo	onneke(母親|[半身を呑ませる]),hapo(母)	hapo,totto		rupnemat(c-i),totto		hapo		mamma,totto		hapo,totto		apo,iresuhapo		hapo		hapo	hapo			apo,hapo	hapo	apo	hapo	hapo									hapo			totto									
[someones],child	こ	子		po,(-ho)		男女の総称なし,arke,ciyasa,arke,ciponte,kane,an,ciukotap(-i),itomkokanup(-i),oyamicikorpe,yaykotapo					po,(-ho)	ekaci(子供),po(子(親に対する)、子供(一般に))	po,po	幌に同じ	po	hekaci,po,-ho,(小さい)	mahpo	mahpo,ohkaypo	mahpo,keyanne	mahpo,keyanne,cietoypiruh(p-i),cietuypiruh(p-i),eyaykari,isan,hekaci	poo,-ho		kor,ponpe,(~poyson),taype,(-he),[悪],uype,[悪],aahupkarpo,ciapise,sapasakaynu,yayresuppo						po(子)	turapo	turapo,matpo			matnaw(子|[妻がいる方])		atpaketapo,hacahapo,oarasampe,okkaypo,ponuyne	eappisep,hokusaknopo	ciatpise							asirorespap,menokopo																	mahpo										anekaripo						
sibling(s)	きょうだい	兄弟姉妹		irwak,,irwaknekur,,irnekur,《一族のもの》		irwak,irwakne,irwaknekur,menokouirwak(-i),sineturesne					irutar,sinepe	irkur(兄弟),irwaki(兄弟姉妹(特に兄弟))	sinepe	irwak	irwak	,irwakhi,は《親類の子供》			uruwah(k-i),uruwahne	irwak(-i),iruwah(k-i),maciriwah(k-i),uiruwakikoro,umacirikoro,umaciriwahkoro,uriwahneaynu	uriwahnehcin		irwak,,irutar,,uirwakneutar,irwak(-i),irwakne,irwaknekur,sineturesnu,yayirwakikor		turanai,gepne,kuru,(兄弟,136)						irwak(-i)			irwak(兄弟|[同じ腹の分かれ])									irwak(-i)							irkamuy(-e)								uyupkor				uruwah(k-i)																
elder,brother	あに	兄	yupo	yup~-o,yupnekur		yupi,popo,yupinekur				yupo	yup,kuyupo,(私の)	kamuyyupi(お兄様),yup(兄),yupi(兄),yupo(兄さん)	yupo,yupo	yup,yuppo	yup	yuphi		yuhpo	kaynu	hoskiramu,kaynu,yupo,yupoyupo	yuhpo,-ho		yup,kuyupo,(私の),yupo,(よびかけ)		habo(135),opu《兄弟》		hapo《兄弟》			hoskiramu,yupo	okkapo			yupo(兄),yup(兄|[上の種])	yupo	yupo,korepo,korpo,onnekorepo	yupo,hupo,ipankoryupo,ipankoyupo,ipankuyupo	yupo	popo	yupo	yupo,yupi		yupo		yupnispake				yupo	yupo					yupo,korpo	yupi						yupo,keyanneohkao					koripo		yupi		yupo							
younger,brother	おとうと	弟		ak,aknekur		ak					ak	ak(弟)	ak	ak	ak	akhi		ak(-i)			ahkapo,-ho		ak		akibo,(135)		hapo《兄弟》			ak(-i)		ak(-i)		ak(弟),ake/aki(弟|[身の末])			ak(-i)								ak(-i)				ak(-i)		akpo,aktono,aktonoke						ak(-i)																					
elder,sister	あね	姉		sa,(-ha),sapo		sapo,sa,ponkakapo,porokakapo				sapo	sapo(kor,彼の)		sapo,sapo,kossapo	sapo	hapo,sa(正式だがあまり使わない)	sapo,-ho		sapo			nanna,-ha		sa,(-ha),kusapo(私の),sapo(よびかけ),sapo,iresusapo		habo		macirpe《姉妹》						nanna	sapo(姉|[朝種])	sapo	korsapo	sapo,cisekossapo				hapo		kakapo						sapo	sapo			kosapo		korsap	sapo,kossapo										sapo			sapo	kakapo	sapo							
younger,sister	いもうと	妹		matak,tures,(男が恋人の意にも使う)		matak,matapa					matak(女の),tures(男の)	mataki(妹),turesi(妹)	matak(女の),tures(男の)	tures	matak(女が言う),tures(男が言う)	matakhi(女の),tureshi(男の)			matah(k-i)	matah(k-i),oattuykes(-i)	heekopo,-ho		matak(女の),matapa,(-ha)(男の),tures,[雅・老](男の),matak(-i),cisetatures(-i),turesnu		akebo(136)		macirpe《姉妹》				matak(-i)			turespo(妹|[次の種])																						matak(-i)									oattuykes(-i)													
uncle	おじ	伯・叔父		aca,(伯,poro-,叔,pon-,父方・母方の区別なし),kewsut(親戚の老人)		aca,kewsut,[雅],aca,ona,orowan,oaca,poroaca				acapo	aca,(koraca,(彼の))	acapo(伯父、叔父、おじさん),kewsut(おじ(伯父叔父)※)	kewsut,aca,kewsut(-u),koracapo,onneacapo	kewsutuhu(父の兄),acapo(母の男兄弟)	aca	kesto,伯,onne,kesto,叔,pon,kesto,父方・母方の区別なし		aca,acapo	aca	wacane	acapo,-ho,伯,poro,叔,haciko,父方・母方の区別なし		acapo,aca,aca(二風谷の方言),2人以上いれば,poro-,pon-,と言って区別する.,伯・叔に無関係,父方・母方の区別なし,aca		keukeu(伯父,135)					aca			acapo	kewsut(伯父|[体の枝])	kewsut(-u)	acapo,kewsut(-u),koracapo			aca		aca		acapo		acapo		acapo		aca,koracapo	aca,acapo				aca	acapo	aca,acapo,koracapo								aca,acapo			acapo											
aunt	おば	伯・叔母		unarpe,伯,porounarpe,叔,ponunarpe,父方・母方の区別なし		unarpe,unu,orowano,unarpe					unarpe,(konnarpe,(彼の))	konnarpe(おば(父や母の姉妹)),kosapo(おばさん),unarpe(伯母(おば)、叔母(おば))	unarpe,(konnarpe,(彼の)),konnarpe,onneunarpe,ponkonnarpe,unarpe	unarpe（父母の姉妹）	unarpe,poysapo（若いおば）	unarpe,伯,onne,unarpe,叔,pon,unarpe,父方・母方の区別なし		unahpe,poysapo,unarape		unahpe	unahpe,-he,unarape,[老],,伯,poro,叔,pon,父方・母方の区別なし		unarpe,(konnarpe,(彼の)),poro-,pon-,等(→42),父方・母方の区別なし,unarpe		metke（伯母136）						unahpe	unahpe		konarpe/konnarpe(伯母|[情が厚い者])		konnappe,konnarpe,korkonnappe,onneunarpe,ponkonnarpe,unarpe			unarpe		unarpe	unarpe	unarpe					unarpe	konnarpe,onnekonnarpe,onneunarpe,ponkonnarpe	konnarpe					konnappe,korkonnappe	konnarpe											konnappe,korkonnappe				konnarpe							
nephew	おい	甥	karku	karku,(-hu)		karku,(-hu)					karku	karku(甥(おい))	karku	karku	karku	karku,-hu				karaku	karaku,-hu		karku,(-hu)							karaku		karaku		karku(甥|[重なる弟])		karku					maktairwak(-i)															karku						karaku																
niece	めい	姪	matkarku	matkarku,(-hu),matnekarku		matkarku,(-hu)					matkarku	matkarku(姪(めい))	matkarku	matkarku	matkarku	matkarku,-hu		kancipo			mahkaraku,-hu		matkarku,(-hu)														matku																																									
cousin	いとこ	従兄弟,従姉妹		atciseta		usatairwak					oatceun,irutar,(本来《他家の兄弟》)		irwak	irwakne,ekattar,(N),irwaxne,ekattar,(H),(注：x,は,[x])	atciseta,yup(男),atciseta,sa(女)	(i)siramkure				iriwah(k-i),maciriwah(k-i),umaciriwahkoro	iruwah,-kihi,maciruwah,-kihi(女)		usatairwak,,irwak,(兄弟をはじめほぼ同世代の近い親族の総称)											ukarku(従弟|[互いの甥])		karku	usatairwak(-i)				usatairwak(-i)															karku,karku,aki,karku,yupi,matkarku,mataki,matkarku,sapo,matkarku,turesi													usatairwak(-i)									
husbands,father	しゅうと	舅		siwtoekasi,kukorcaca		siwtomici					言えば,tomo,kunukar,aca		ekasi	ekas	siwto	忘れた					munciripe,-he		siwtoiyapo,(ku-(私の)),siwto,(-ho),acapo																																																							
husbands,mother	しゅうとめ	姑		siwtohutci,,kukorhutci		siwtohapo					言えば,tomo,kunukar,unarpe		hoku,totto	huci	siwtokatkemat	忘れた					mahmunciripe,-he		siwtohapo,(ku-,(私の)),,siwto,(-ho),unarpe																																																							
wifes,father	つまのちち	妻の父		siwtoekasi		siwtomici							maci,aca	ekas							munciripe,-he		macihi,onaha,,iyapo,《父》																																																							
wifes,mother	つまのはは	妻の母		siwtohutci		siwtohapo							maci,totto	huci							mahmunciripe,-he		macihi,unuhu,,hapo《母》																																																							
daughter-in-law	よめ	嫁		kosmat,-ci		kosmat,-ci					kosmat,-ci	kosmaci(･･･の嫁),kosmat(嫁)	kosmat,-ci	kosmat,-ci(hi)	kosmat	kosmat,-cihi					kosmah,-cihi		kosmat,-ci		anandemat(花嫁)																																																					
son-in-law	むこ	婿	kokow	kokow		kokow					koko		kok	koknekur	kok	koko,-ho					koko,-ho		kokow		anantehoku(花婿)																																																					
